# Tanca -- dados filtrados
# periodo     : 2026-01-17 00:00:00  ->  2026-01-27 00:00:00  (UTC)
# bin         : 5 min
# corte_deriv : |d(rate)/dt| < 0.075 Hz/s
# corte_dt    : dt <= 1.0 * bin_width  (0 = sem corte)
# rate_min    : 1600.00 Hz
# rate_max    : 2400.00 Hz
# bins_aceitos: 2719 / 2774  (98.0%)
# sumRate1Hz = rateHz * count  (soma dos rates de 1 Hz no bin)
# secondsEpoch, rateHz, sumRate1Hz, count
1768608150, 1901.52, 559046.54, 294
1768608450, 1910.89, 561800.85, 294
1768608750, 1918.76, 560279.16, 292
1768609050, 1910.64, 557907.69, 292
1768609350, 1917.66, 563791.47, 294
1768609650, 1904.48, 559916.21, 294
1768609950, 1907.79, 560889.16, 294
1768610250, 1893.59, 556714.62, 294
1768610550, 1906.70, 560571.16, 294
1768610850, 1889.28, 551670.66, 292
1768611150, 1877.82, 550200.39, 293
1768611450, 1869.82, 549726.83, 294
1768612050, 1888.78, 555302.20, 294
1768612350, 1879.51, 545059.18, 290
1768612650, 1889.02, 551594.21, 292
1768612950, 1894.31, 556926.01, 294
1768613250, 1903.32, 559575.58, 294
1768613550, 1901.96, 559177.16, 294
1768613850, 1912.61, 562306.43, 294
1768614150, 1915.16, 564971.67, 295
1768614450, 1918.64, 564081.58, 294
1768614750, 1912.34, 562227.68, 294
1768615050, 1918.66, 564085.01, 294
1768615350, 1913.79, 562654.91, 294
1768615650, 1912.63, 562314.55, 294
1768615950, 1921.64, 564963.08, 294
1768616250, 1915.02, 563016.32, 294
1768616550, 1923.02, 561522.46, 292
1768616850, 1910.73, 563666.54, 295
1768617150, 1922.49, 561368.20, 292
1768617450, 1915.50, 563156.05, 294
1768617750, 1913.14, 558635.71, 292
1768618050, 1911.58, 562005.95, 294
1768618350, 1917.64, 559949.96, 292
1768618650, 1910.50, 561686.97, 294
1768618950, 1919.85, 560597.62, 292
1768619250, 1915.32, 563105.21, 294
1768619550, 1916.62, 561569.33, 293
1768619850, 1914.03, 562725.72, 294
1768620150, 1912.30, 558391.16, 292
1768620450, 1918.79, 564124.74, 294
1768620750, 1902.96, 559471.24, 294
1768621050, 1914.38, 562829.06, 294
1768621350, 1905.43, 560197.62, 294
1768621650, 1912.57, 558471.45, 292
1768621950, 1911.59, 562008.20, 294
1768622250, 1921.61, 564954.64, 294
1768622550, 1916.79, 557785.13, 291
1768622850, 1922.88, 565325.80, 294
1768623150, 1912.60, 558480.31, 292
1768623450, 1923.97, 561800.35, 292
1768623750, 1917.48, 563737.74, 294
1768624050, 1910.51, 555958.40, 291
1768624350, 1914.00, 564628.97, 295
1768624650, 1909.52, 561399.20, 294
1768624950, 1923.35, 557770.90, 290
1768625250, 1914.64, 562903.16, 294
1768625550, 1923.63, 565548.19, 294
1768625850, 1913.35, 562525.72, 294
1768626150, 1919.60, 558602.41, 291
1768626450, 1910.00, 557719.40, 292
1768626750, 1917.19, 559818.52, 292
1768627050, 1916.13, 563342.75, 294
1768627350, 1929.97, 563552.02, 292
1768627650, 1927.27, 566616.60, 294
1768627950, 1921.93, 561203.36, 292
1768628250, 1923.57, 567452.07, 295
1768628550, 1916.83, 563547.40, 294
1768628850, 1927.15, 566582.50, 294
1768629150, 1920.36, 564586.55, 294
1768629450, 1928.93, 567104.45, 294
1768629750, 1917.43, 556054.65, 290
1768630050, 1925.15, 565993.70, 294
1768630350, 1913.05, 562437.91, 294
1768630650, 1929.55, 567287.85, 294
1768630950, 1914.74, 561018.14, 293
1768631250, 1922.46, 561358.67, 292
1768631550, 1915.56, 563173.24, 294
1768631850, 1916.86, 559722.32, 292
1768632150, 1923.30, 565449.22, 294
1768632450, 1915.82, 563250.28, 294
1768632750, 1922.86, 565321.19, 294
1768633050, 1921.59, 561104.68, 292
1768633350, 1924.41, 565777.97, 294
1768633650, 1918.72, 566023.55, 295
1768633950, 1919.07, 564207.11, 294
1768634250, 1914.55, 559047.47, 292
1768634550, 1927.14, 566580.49, 294
1768634850, 1915.74, 563226.24, 294
1768635150, 1922.25, 551686.23, 287
1768635450, 1922.85, 565316.75, 294
1768635750, 1917.45, 556061.30, 290
1768636050, 1921.72, 564985.41, 294
1768636350, 1917.71, 563807.69, 294
1768636650, 1916.23, 563370.76, 294
1768636950, 1912.95, 562406.50, 294
1768637250, 1920.41, 564600.40, 294
1768637550, 1921.41, 564895.16, 294
1768637850, 1918.79, 560286.99, 292
1768638150, 1919.58, 564356.79, 294
1768638450, 1929.62, 569237.21, 295
1768638750, 1912.33, 558400.21, 292
1768639050, 1911.92, 552545.41, 289
1768639350, 1897.17, 557767.19, 294
1768639650, 1893.14, 552795.95, 292
1768639950, 1892.77, 556473.74, 294
1768640250, 1897.04, 553934.73, 292
1768640550, 1910.77, 557944.28, 292
1768640850, 1896.99, 557716.00, 294
1768641150, 1908.48, 563001.15, 295
1768641450, 1890.86, 555913.47, 294
1768641750, 1888.14, 551337.28, 292
1768642050, 1872.09, 550395.43, 294
1768642350, 1888.26, 555148.07, 294
1768642650, 1875.98, 544034.93, 290
1768642950, 1883.95, 550113.02, 292
1768643250, 1885.76, 554413.79, 294
1768643550, 1893.12, 556577.02, 294
1768643850, 1885.47, 546787.02, 290
1768644150, 1882.48, 549684.65, 292
1768644450, 1895.78, 557360.57, 294
1768644750, 1893.95, 551140.17, 291
1768645050, 1899.17, 554557.16, 292
1768645350, 1890.48, 555801.62, 294
1768645650, 1894.85, 557085.29, 294
1768645950, 1880.27, 549039.53, 292
1768646250, 1873.07, 546936.67, 292
1768646550, 1876.77, 548016.82, 292
1768647150, 1911.46, 558147.45, 292
1768647450, 1909.96, 563439.37, 295
1768647750, 1908.83, 561195.45, 294
1768648050, 1897.25, 557792.42, 294
1768648350, 1906.80, 560599.94, 294
1768648650, 1898.45, 550550.48, 290
1768648950, 1909.75, 550006.89, 288
1768649250, 1898.20, 550476.63, 290
1768649550, 1909.50, 555663.58, 291
